,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
2823,39345,CA-2013-168543,04-07-2013,08-07-2013,Standard Class,DK-13225,Dean Katz,Corporate,New York City,New York,United States,10035.0,US,East,OFF-AP-10000938,Office Supplies,Appliances,Avanti 1.7 Cu. Ft. Refrigerator,706.86,7,0.0,197.9208,104.38,High
2874,35120,CA-2012-140984,14-09-2012,18-09-2012,Standard Class,CC-12685,Craig Carroll,Consumer,New York City,New York,United States,10011.0,US,East,OFF-ST-10000585,Office Supplies,Storage,Economy Rollaway Files,991.2,6,0.0,257.712,103.01,Medium
2882,34514,CA-2014-104640,11-11-2014,17-11-2014,Standard Class,FH-14275,Frank Hawley,Corporate,New York City,New York,United States,10024.0,US,East,OFF-BI-10003925,Office Supplies,Binders,Fellowes PB300 Plastic Comb Binding Machine,931.176,3,0.2,314.2719,102.88,Low
2932,38197,CA-2012-140557,07-09-2012,11-09-2012,Standard Class,TN-21040,Tanja Norvell,Home Office,New York City,New York,United States,10009.0,US,East,TEC-AC-10002402,Technology,Accessories,Razer Kraken PRO Over Ear PC and Music Headset,559.93,7,0.0,167.979,101.52,High
2950,33654,US-2011-148838,17-03-2011,21-03-2011,Standard Class,CP-12340,Christine Phan,Corporate,New York City,New York,United States,10024.0,US,East,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,1579.746,7,0.4,-447.5947,101.14,Medium
3020,40690,CA-2011-125997,20-09-2011,23-09-2011,First Class,MW-18220,Mitch Webber,Consumer,New York City,New York,United States,10011.0,US,East,TEC-PH-10003484,Technology,Phones,Ooma Telo VoIP Home Phone System,629.95,5,0.0,157.4875,99.27,High
3185,37122,CA-2014-161067,04-09-2014,07-09-2014,Second Class,KB-16405,Katrina Bavinger,Home Office,New York City,New York,United States,10035.0,US,East,OFF-PA-10000418,Office Supplies,Paper,Xerox 189,419.4,4,0.0,201.312,95.29,High
3191,32789,CA-2014-166436,25-11-2014,29-11-2014,Standard Class,TS-21370,Todd Sumrall,Corporate,New York City,New York,United States,10035.0,US,East,FUR-CH-10000785,Furniture,Chairs,Global Ergonomic Managers Chair,977.292,6,0.1,173.7408,95.11,Medium
3311,36303,CA-2012-169796,09-11-2012,14-11-2012,Standard Class,Dp-13240,Dean percer,Home Office,New York City,New York,United States,10035.0,US,East,TEC-MA-10000045,Technology,Machines,Zebra ZM400 Thermal Label Printer,2321.9,2,0.0,1114.512,92.2,High
3433,35547,CA-2011-168130,19-09-2011,19-09-2011,Same Day,BS-11365,Bill Shonely,Corporate,New York City,New York,United States,10011.0,US,East,FUR-CH-10000988,Furniture,Chairs,Hon Olson Stacker Stools,887.103,7,0.1,177.4206,89.69,High
3462,36736,CA-2013-167115,05-04-2013,10-04-2013,Standard Class,EH-14185,Evan Henry,Consumer,New York City,New York,United States,10035.0,US,East,OFF-BI-10004600,Office Supplies,Binders,Ibico Ibimaster 300 Manual Binding System,588.784,2,0.2,183.995,89.0,High
3496,33093,US-2014-139465,28-08-2014,31-08-2014,First Class,MR-17545,Mathew Reese,Home Office,New York City,New York,United States,10024.0,US,East,TEC-PH-10000455,Technology,Phones,GE 30522EE2,347.97,3,0.0,100.9113,88.39,High
3817,31650,CA-2013-129714,02-09-2013,04-09-2013,First Class,AB-10060,Adam Bellavance,Home Office,New York City,New York,United States,10009.0,US,East,OFF-BI-10004995,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,4355.168,4,0.2,1415.4296,82.67,Critical
3837,38265,CA-2012-110765,16-10-2012,20-10-2012,Second Class,MP-17965,Michael Paige,Corporate,New York City,New York,United States,10011.0,US,East,TEC-PH-10004165,Technology,Phones,Mitel MiVoice 5330e IP Phone,824.97,3,0.0,214.4922,82.36,Medium
3903,32966,US-2012-157154,10-01-2012,15-01-2012,Standard Class,MM-17920,Michael Moore,Consumer,New York City,New York,United States,10011.0,US,East,FUR-TA-10001889,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table,1018.104,4,0.4,-373.3048,81.27,Medium
3926,33655,US-2011-148838,17-03-2011,21-03-2011,Standard Class,CP-12340,Christine Phan,Corporate,New York City,New York,United States,10024.0,US,East,FUR-TA-10001950,Furniture,Tables,Balt Solid Wood Round Tables,1071.576,4,0.4,-553.6476,80.94,Medium
3935,38848,CA-2011-140396,20-11-2011,25-11-2011,Standard Class,KH-16330,Katharine Harms,Corporate,New York City,New York,United States,10024.0,US,East,TEC-PH-10004447,Technology,Phones,Toshiba IPT2010-SD IP Telephone,833.94,6,0.0,216.8244,80.77,Medium
3999,34054,CA-2013-127775,12-06-2013,14-06-2013,Second Class,ES-14020,Erica Smith,Consumer,New York City,New York,United States,10035.0,US,East,TEC-AC-10002402,Technology,Accessories,Razer Kraken PRO Over Ear PC and Music Headset,239.97,3,0.0,71.991,79.71,Critical
4119,40880,CA-2014-116127,26-06-2014,28-06-2014,Second Class,SB-20185,Sarah Brown,Consumer,New York City,New York,United States,10024.0,US,East,FUR-BO-10002213,Furniture,Bookcases,DMI Eclipse Executive Suite Bookcases,400.784,1,0.2,-5.0098,78.15,High
4131,39502,CA-2012-114811,08-11-2012,08-11-2012,Same Day,KD-16495,Keith Dawkins,Corporate,New York City,New York,United States,10024.0,US,East,FUR-CH-10003746,Furniture,Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs,577.764,2,0.1,115.5528,78.0,Medium
4149,32316,CA-2012-108665,06-07-2012,10-07-2012,Standard Class,KM-16225,Kalyca Meade,Corporate,New York City,New York,United States,10011.0,US,East,OFF-ST-10001526,Office Supplies,Storage,Iceberg Mobile Mega Data/Printer Cart ,601.65,5,0.0,156.429,77.87,High
4361,32923,CA-2012-164539,16-11-2012,22-11-2012,Standard Class,PO-19180,Philisse Overcash,Home Office,New York City,New York,United States,10011.0,US,East,OFF-AP-10002457,Office Supplies,Appliances,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",523.25,5,0.0,141.2775,74.71,Low
4419,39155,CA-2011-103429,30-05-2011,01-06-2011,First Class,LW-16825,Laurel Workman,Corporate,New York City,New York,United States,10024.0,US,East,OFF-AP-10001005,Office Supplies,Appliances,Honeywell Quietcare HEPA Air Cleaner,235.95,3,0.0,77.8635,73.89,Critical
4427,36810,CA-2012-103177,30-05-2012,01-06-2012,First Class,EN-13780,Edward Nazzal,Consumer,New York City,New York,United States,10009.0,US,East,TEC-PH-10001795,Technology,Phones,RCA H5401RE1 DECT 6.0 4-Line Cordless Handset With Caller ID/Call Waiting,239.97,3,0.0,2.3997,73.75,High
4473,35686,CA-2014-111556,21-11-2014,23-11-2014,First Class,CD-11920,Carlos Daly,Consumer,New York City,New York,United States,10035.0,US,East,FUR-BO-10003159,Furniture,Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",183.968,2,0.2,-25.2956,73.19,Critical
4531,32546,CA-2014-115602,19-12-2014,25-12-2014,Standard Class,DJ-13630,Doug Jacobs,Consumer,New York City,New York,United States,10009.0,US,East,FUR-CH-10001708,Furniture,Chairs,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,1141.938,9,0.1,139.5702,72.49,Medium
4698,33595,CA-2012-113145,01-11-2012,05-11-2012,Standard Class,VD-21670,Valerie Dominguez,Consumer,New York City,New York,United States,10011.0,US,East,TEC-AC-10001838,Technology,Accessories,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,1399.93,7,0.0,601.9699,70.34,Medium
4840,39249,CA-2012-145814,19-11-2012,24-11-2012,Standard Class,KD-16345,Katherine Ducich,Consumer,New York City,New York,United States,10035.0,US,East,TEC-PH-10002200,Technology,Phones,Aastra 6757i CT Wireless VoIP phone,861.76,4,0.0,249.9104,68.46,Medium
4898,36438,CA-2013-111213,02-04-2013,06-04-2013,Standard Class,FP-14320,Frank Preis,Consumer,New York City,New York,United States,10009.0,US,East,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1317.492,6,0.1,292.776,67.78,Medium
4938,38043,CA-2014-159156,14-11-2014,17-11-2014,First Class,KB-16600,Ken Brennan,Corporate,New York City,New York,United States,10009.0,US,East,TEC-PH-10004389,Technology,Phones,Nokia Lumia 925,629.95,5,0.0,163.787,67.39,Medium
5168,40955,CA-2011-156160,22-09-2011,29-09-2011,Standard Class,AS-10090,Adam Shillingsburg,Consumer,New York City,New York,United States,10035.0,US,East,FUR-CH-10004983,Furniture,Chairs,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,579.528,4,0.1,83.7096,64.56,Medium
5180,36055,CA-2011-121573,03-11-2011,07-11-2011,Standard Class,SG-20605,Speros Goranitis,Consumer,New York City,New York,United States,10009.0,US,East,TEC-PH-10000984,Technology,Phones,Panasonic KX-TG9471B,783.96,4,0.0,219.5088,64.42,High
5182,36882,CA-2014-105333,01-12-2014,05-12-2014,Standard Class,VP-21730,Victor Preis,Home Office,New York City,New York,United States,10011.0,US,East,TEC-PH-10001468,Technology,Phones,Panasonic Business Telephones KX-T7736,546.06,3,0.0,163.818,64.39,High
5339,33178,CA-2012-109512,05-03-2012,05-03-2012,Same Day,LF-17185,Luke Foster,Consumer,New York City,New York,United States,10011.0,US,East,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",383.607,7,0.1,63.9345,62.5,Critical
5365,32508,CA-2013-137050,15-07-2013,19-07-2013,Second Class,SW-20755,Steven Ward,Corporate,New York City,New York,United States,10009.0,US,East,FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,579.136,4,0.2,21.7176,62.18,Medium
